base,params,exp,teacher,n_examples,repeat,max_tokens,step,benchmark,mean,std,n_seeds,wandb_run,created,state
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,10000,1,32768,394,AIME25,0.0833,0.036,10,cybc2gow,2026-04-30,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,10000,1,32768,394,AMC23,0.39,0.0428,10,g72hufq9,2026-04-30,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,10000,1,32768,394,HMMT,0.0367,0.0189,10,bzea9g1i,2026-04-30,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,10000,1,32768,394,MATH500,0.61,0.0125,3,gxf49u6x,2026-04-30,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,10000,2,32768,394,AIME24,0.1267,0.041,10,zyi8m43w,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,10000,2,32768,394,AIME25,0.15,0.0393,10,nx7p5dyb,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,10000,2,32768,394,AMC23,0.5,0.0471,10,y32x6w5k,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,10000,2,32768,394,HMMT,0.1,0.0385,10,0yqjzh0k,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,10000,2,32768,394,MATH500,0.682,0.0164,3,vdndpchv,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,10000,3,32768,394,AIME24,0.1667,0.0471,10,x9zznat5,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,10000,3,32768,394,AIME25,0.1567,0.0522,10,m4zp2yyd,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,10000,3,32768,394,AMC23,0.5025,0.0492,10,d6fbeo85,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,10000,3,32768,394,HMMT,0.09,0.0473,10,abuz89bg,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,10000,3,32768,394,MATH500,0.6933,0.0083,3,4e0gg8of,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,50000,1,32768,391,AIME24,0.05,0.036,10,3p8jxlxx,2026-05-05,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,50000,1,32768,391,AIME25,0.0967,0.0189,10,k9cddid1,2026-05-05,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,50000,1,32768,391,AMC23,0.285,0.0376,10,24u73qfq,2026-05-05,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,50000,1,32768,391,HMMT,0.04,0.041,10,g3b89skh,2026-05-05,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,50000,1,32768,391,MATH500,0.5313,0.009,3,vt5blq1d,2026-05-05,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,50000,1,32768,782,AIME24,0.2067,0.0492,10,0o1mbx0c,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,50000,1,32768,782,AIME25,0.1633,0.0532,10,s7x91aoz,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,50000,1,32768,782,AMC23,0.4675,0.0206,10,ug1u5lzw,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,50000,1,32768,782,HMMT,0.0967,0.0429,10,hl93v1sa,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,50000,1,32768,782,MATH500,0.6613,0.0121,3,3x9w7bji,2026-05-08,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,50000,1,32768,1173,AIME24,0.21,0.0473,10,8mmgs06m,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,50000,1,32768,1173,AIME25,0.1867,0.0322,10,go4w57dy,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,50000,1,32768,1173,AMC23,0.545,0.0438,10,i81ggzfd,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,50000,1,32768,1173,HMMT,0.11,0.0316,10,w2715fge,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-4b,50000,1,32768,1173,MATH500,0.7207,0.0061,3,azu7u9w3,2026-05-08,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,1,32768,79,AIME24,0.0,0.0,10,igfqo0sz,2026-04-22,finished
marin-8b-base,8030000000.0,exp3956o,glm5,256,1,32768,79,AIME24,0.0,0.0,10,72fbfbjv,2026-04-13,finished
