_step,train/loss,eval/paloma/c4_en-llama3/loss,eval_dropless/paloma/c4_en-llama3/loss,eval/macro_loss,eval_dropless/macro_loss,_segment
10395,1.3541603088378906,,,,,hero-12d8b6f0-dee637
10449,1.3482083082199097,,,,,hero-12d8b6f0-dee637
10491,1.348766803741455,,,,,hero-12d8b6f0-dee637
10526,1.3577725887298584,,,,,hero-12d8b6f0-dee637
10642,1.3638074398040771,,,,,hero-12d8b6f0-dee637
10653,1.3452541828155518,,,,,hero-12d8b6f0-dee637
10667,1.3472180366516113,,,,,hero-12d8b6f0-dee637
10705,1.3455668687820435,,,,,hero-12d8b6f0-dee637
10776,1.347804307937622,,,,,hero-12d8b6f0-dee637
10813,1.3453309535980225,,,,,hero-12d8b6f0-dee637
10817,1.3378630876541138,,,,,hero-12d8b6f0-dee637
10833,1.3422203063964844,,,,,hero-12d8b6f0-dee637
10870,1.3437381982803345,,,,,hero-12d8b6f0-dee637
10885,1.3445348739624023,,,,,hero-12d8b6f0-dee637
10895,1.3343114852905273,,,,,hero-12d8b6f0-dee637
10926,1.3495346307754517,,,,,hero-12d8b6f0-dee637
10941,1.3475351333618164,,,,,hero-12d8b6f0-dee637
11058,1.3459570407867432,,,,,hero-12d8b6f0-dee637
11077,1.3476969003677368,,,,,hero-12d8b6f0-dee637
11122,1.3415400981903076,,,,,hero-12d8b6f0-dee637
11139,1.345079779624939,,,,,hero-12d8b6f0-dee637
11140,1.3391224145889282,,,,,hero-12d8b6f0-dee637
11146,1.3591731786727905,,,,,hero-12d8b6f0-dee637
11169,1.3523550033569336,,,,,hero-12d8b6f0-dee637
11180,1.3392059803009033,,,,,hero-12d8b6f0-dee637
11205,1.3521312475204468,,,,,hero-12d8b6f0-dee637
11244,1.3460954427719116,,,,,hero-12d8b6f0-dee637
11266,1.3388367891311646,,,,,hero-12d8b6f0-dee637
11307,1.3364237546920776,,,,,hero-12d8b6f0-dee637
11321,1.3413127660751343,,,,,hero-12d8b6f0-dee637
11326,1.342393398284912,,,,,hero-12d8b6f0-dee637
11347,1.3392665386199951,,,,,hero-12d8b6f0-dee637
11368,1.3394659757614136,,,,,hero-12d8b6f0-dee637
11395,1.346693754196167,,,,,hero-12d8b6f0-dee637
11400,1.3462235927581787,,,,,hero-12d8b6f0-dee637
11401,1.3401292562484741,,,,,hero-12d8b6f0-dee637
11407,1.341439127922058,,,,,hero-12d8b6f0-dee637
11430,1.3370873928070068,,,,,hero-12d8b6f0-dee637
11464,1.3433594703674316,,,,,hero-12d8b6f0-dee637
11469,1.3313257694244385,,,,,hero-12d8b6f0-dee637
11475,1.3506778478622437,,,,,hero-12d8b6f0-dee637
11489,1.3307842016220093,,,,,hero-12d8b6f0-dee637
11506,1.3435026407241821,,,,,hero-12d8b6f0-dee637
11523,1.334341049194336,,,,,hero-12d8b6f0-dee637
11529,1.3360556364059448,,,,,hero-12d8b6f0-dee637
11612,1.336593747138977,,,,,hero-12d8b6f0-dee637
11664,1.3349512815475464,,,,,hero-12d8b6f0-dee637
11684,1.3258289098739624,,,,,hero-12d8b6f0-dee637
11703,1.3344157934188843,,,,,hero-12d8b6f0-dee637
11716,1.3309550285339355,,,,,hero-12d8b6f0-dee637
11792,1.3260220289230347,,,,,hero-12d8b6f0-dee637
11802,1.3305754661560059,,,,,hero-12d8b6f0-dee637
11952,1.3421491384506226,,,,,hero-12d8b6f0-dee637
11999,,2.5847771167755127,2.4306936264038086,2.426421642303467,2.18475604057312,hero-12d8b6f0-dee637
12007,1.3293960094451904,,,,,hero-12d8b6f0-dee637
12047,1.346740484237671,,,,,hero-12d8b6f0-dee637
12128,1.3335576057434082,,,,,hero-12d8b6f0-dee637
12251,1.3490978479385376,,,,,hero-12d8b6f0-dee637
12276,1.3431370258331299,,,,,hero-12d8b6f0-dee637
12291,1.3357460498809814,,,,,hero-12d8b6f0-dee637
